"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum"
"Mme LETELLIER Isabelle","0","0","0","0","0","0","0","0","0","0","A","Eure - 4","64 949 €","32 475 €"
"M. LEVITRE Gaëtan","4 483","4 483","3 822","120","0","0","541","0","0","0","A","Eure - 4","64 949 €","32 475 €"
"M. LONCLE François","49 585","49 585","2 940","0","17 733","0","28 912","0","0","28 912","A","Eure - 4","64 949 €","32 475 €"
"M. PREVOST Gérard","577","577","0","15","0","0","562","0","0","0","A","Eure - 4","64 949 €","32 475 €"
"M. SOLAL Christophe","323","323","0","309","14","0","0","0","0","0","A","Eure - 4","64 949 €","32 475 €"
"M. BOURGEOIS Claude","331","331","0","15","0","0","316","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"Mme FONTAINE Joëlle","0","0","0","0","0","0","0","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"Mme GIBERT Catherine","0","0","0","0","0","0","0","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"M. GILARD Franck","29 353","31 448","15 787","9 700","5 922","0","39","2 095","2 056","0","A","Eure - 5","65 126 €","32 563 €"
"nique","39","39","0","39","0","0","0","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"Mme OLIVIER Annick","0","0","0","0","0","0","0","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"M. PARENT Patrice","360","360","0","332","28","0","0","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"M. TARTE Didier","0","0","0","0","0","0","0","0","0","0","A","Eure - 5","65 126 €","32 563 €"
"M. TOUCHAGUES Bernard","7 100","7 100","0","0","0","0","7 100","0","0","7 100","A","Eure - 5","65 126 €","32 563 €"
"Mme AUBERT Marie-Jose","275","275","0","267","8","0","0","0","0","0","A","Eure-et-Loir - 1","65 673 €","32 837 €"
"M. DAMERON Mathieu","15","65","0","15","0","0","50","50","0","0","A","Eure-et-Loir - 1","65 673 €","32 837 €"
"Mme GARREYN Kathy","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 1","65 673 €","32 837 €"
"M. GEOLLOT Lionel","889","889","115","0","0","0","774","0","0","0","A","Eure-et-Loir - 1","65 673 €","32 837 €"
"Mme RENAULT Gabrielle","23 501","24 295","0","0","0","0","24 295","794","0","23 501","A","Eure-et-Loir - 1","65 673 €","32 837 €"
"M. CHEVROLLIER Vincent","296","296","0","293","3","0","0","0","0","0","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"M. GABORIAU Jean-Pierre","11 942","11 942","0","0","420","0","11 522","0","0","11 522","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"Mlle GALVIN Martine","15","65","0","15","0","0","50","50","0","0","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"Mme GENET Veronique","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"Mlle HESSEL Birgitta","18 469","18 469","410","1 360","0","0","16 699","0","0","16 699","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"Mlle JAFFRENOU Beatrice","0","15","0","0","0","15","0","15","15","0","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"Mme QUÉRITE Gisele","889","889","100","0","0","0","789","0","0","0","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"Mme RIGOURD Jocelyne","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 2","63 308 €","31 654 €"
"M. DEBALLON Hugues","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"Mme DIVEKI Isabelle","13 818","13 818","0","0","218","0","13 600","0","0","13 600","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"M. EMMANUEL Pascal","889","889","0","0","0","0","889","0","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"Mlle GODDE Anne-Catherine","267","267","0","264","3","0","0","0","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"M. HOGUET Patrick","20 339","20 339","0","0","0","0","20 339","0","0","20 339","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"M. HUWART Francois","21 013","21 448","0","333","608","0","20 507","435","0","20 072","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"M. LAANAYA Karim","5 432","5 432","225","417","0","0","4 790","0","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"Mlle MAS Nicole","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"M. MOURAD Stephane","15","65","0","15","0","0","50","50","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"Laure","42 352","42 352","6 760","9 851","10","1 011","24 720","0","0","24 720","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"Mlle RIBEIRO Francoise","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 3","62 021 €","31 011 €"
"Mme AUROI Danielle","453","1 000","0","0","0","0","1 000","547","0","0","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mlle CHAIZE Miren","294","294","0","265","29","0","0","0","0","0","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"M. FAUVE Serge","27 185","29 730","120","900","800","0","27 910","2 545","0","25 365","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mlle GARCETTE Marie-France","22 496","23 566","0","0","0","0","23 566","1 070","0","22 496","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mme GARCIA Dominique","889","889","20","0","0","0","869","0","0","0","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mlle GUILLET Jessica","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mme JOUACHIM Bernadette","0","0","0","0","0","0","0","0","0","0","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mme MICHEL Alice","15","15","0","15","0","0","0","0","0","0","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"M. VIGIER Philippe","40 689","40 689","4 340","0","1 105","0","35 244","0","0","30 258","A","Eure-et-Loir - 4","60 516 €","30 259 €"
"Mme CARRASCO Janine","156","156","0","15","81","0","60","0","0","0","A","Finistère - 1","64 120 €","32 060 €"
"M. DEGHILAGE Xavier","0","0","0","0","0","0","0","0","0","0","A","Finistère - 1","64 120 €","32 060 €"
"M. HARDY Serge","269","269","0","258","11","0","0","0","0","0","A","Finistère - 1","64 120 €","32 060 €"
"M. LE BIGOT Daniel","22 087","22 087","0","0","0","0","22 087","0","0","22 087","A","Finistère - 1","64 120 €","32 060 €"
"M. MARZIN Didier","0","0","0","0","0","0","0","0","0","0","A","Finistère - 1","64 120 €","32 060 €"
"Mme RAINERO Yvonne","2 177","2 177","0","0","0","0","2 177","0","0","0","A","Finistère - 1","64 120 €","32 060 €"
"M. ROUSSEAU Alain-Pierre","500","500","500","0","0","0","0","0","0","0","A","Finistère - 1","64 120 €","32 060 €"
"Mme ABILY Gaelle","3 464","3 464","0","0","0","0","3 464","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"M. ASCOET Stephane","0","0","0","0","0","0","0","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"Mme BRETAUD Sandrine","0","0","0","0","0","0","0","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"M. CALVEZ Roger","0","0","0","0","0","0","0","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"M. CHERBLANC André","244","244","0","226","18","0","0","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"Mme FABRE Madeleine","0","0","0","0","0","0","0","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"M. GARCON Andre","15","15","0","15","0","0","0","0","0","0","A","Finistère - 2","64 801 €","32 401 €"
"M. LE BORGNE Jean-Yves","42 149","42 404","550","9 700","206","0","31 948","255","0","31 693","A","Finistère - 2","64 801 €","32 401 €"
"Mme LE NEDELLEC Frederique","1 616","1 856","900","956","0","0","0","240","240","0","A","Finistère - 2","64 801 €","32 401 €"
"Mme LOUSSOUARN Marif","772","803","0","803","0","0","0","31","31","0","A","Finistère - 2","64 801 €","32 401 €"
"M. AUGEREAU Jean","2 641","2 641","0","1 869","750","0","22","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"Mlle COUTURIER Cathérine","1 785","1 785","785","0","0","0","1 000","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"Mme DUBREULE Murielle","3 338","3 338","0","0","0","0","3 338","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"Mme MEVEL Sophie","250","250","250","0","0","0","0","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"M. PIRO Jacques","262","262","0","244","18","0","0","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"M. QUELENNEC Erwan","15","15","0","15","0","0","0","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"Mme REMOND Véronique","0","0","0","0","0","0","0","0","0","0","A","Finistère - 3","67 068 €","33 534 €"
"M. BOURVEN François","1 100","1 100","100","0","0","0","1 000","0","0","0","A","Finistère - 4","62 643 €","31 322 €"
"M. CAROFF Gilles","29 962","29 962","2 855","9 700","0","0","17 407","0","0","17 407","A","Finistère - 4","62 643 €","31 322 €"
"Mme GENTRIC Anne-Marie","41","41","0","15","26","0","0","0","0","0","A","Finistère - 4","62 643 €","31 322 €"
"Mme LEBRANCHU Marilyse","25 267","25 267","292","900","1 137","0","22 938","0","0","22 938","A","Finistère - 4","62 643 €","31 322 €"
"M. MÉTAYER Stéphane","0","0","0","0","0","0","0","0","0","0","A","Finistère - 4","62 643 €","31 322 €"
"M. PLOUGONVEN Jean-Hugues","0","0","0","0","0","0","0","0","0","0","A","Finistère - 4","62 643 €","31 322 €"
"Christine","1 945","1 952","0","1 952","0","0","0","7","7","0","A","Finistère - 4","62 643 €","31 322 €"
"Mme REMACLE Francine","0","0","0","0","0","0","0","0","0","0","A","Finistère - 4","62 643 €","31 322 €"
"M. ROGARD Yvon","245","250","250","0","0","0","0","5","5","0","A","Finistère - 4","62 643 €","31 322 €"
"Mme ROUDAUT Alice","274","274","0","267","7","0","0","0","0","0","A","Finistère - 4","62 643 €","31 322 €"
"Mme CHAUVEAU Francoise","296","296","0","285","11","0","0","0","0","0","A","Finistère - 5","64 360 €","32 180 €"
"M. CHEVALIER Jean","2 172","2 172","0","0","0","0","2 172","0","0","0","A","Finistère - 5","64 360 €","32 180 €"
"M. FABRE Alain","0","0","0","0","0","0","0","0","0","0","A","Finistère - 5","64 360 €","32 180 €"
"M. HERVE Yannick","4 279","4 279","525","0","0","0","3 754","0","0","0","A","Finistère - 5","64 360 €","32 180 €"
"M. KEROAS Jean marie","0","0","0","0","0","0","0","0","0","0","A","Finistère - 5","64 360 €","32 180 €"
"M. LE GUEN Jacques","40 058","40 058","4 475","9 700","8 435","13","17 435","0","0","17 435","A","Finistère - 5","64 360 €","32 180 €"
"M. MORUCCI Emmanuel","16 848","16 848","390","0","0","0","16 458","0","0","16 458","A","Finistère - 5","64 360 €","32 180 €"
"M. WINCKLER Christophe","2 746","2 746","0","171","400","0","2 175","0","0","0","A","Finistère - 5","64 360 €","32 180 €"
"DISET Elisabeth","0","0","0","0","0","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"M. GUILLEMOT Matthieu","92","92","0","15","77","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"Mme GUILLOU PIRO Elisabeth","321","321","0","307","14","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"Mme HAAS Marie anne","0","0","0","0","0","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"Mme LEMOINE Danielle","0","0","0","0","0","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"M. MENARD Christian","56 285","56 285","4 481","9 764","7 327","0","34 713","0","0","31 906","A","Finistère - 6","63 812 €","31 907 €"
"M. MILLIAU Philippe","0","0","0","0","0","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"Mme NICOLE Corinne","912","912","43","0","0","0","869","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"M. QUEINNEC Jean yves","0","0","0","0","0","0","0","0","0","0","A","Finistère - 6","63 812 €","31 907 €"
"M. CANEVET Michel","31 449","31 449","3 930","0","0","0","27 519","0","0","27 519","A","Finistère - 7","60 993 €","30 497 €"
"M. DEFRANCE Serge","227","227","0","219","8","0","0","0","0","0","A","Finistère - 7","60 993 €","30 497 €"
"M. GUIRRIEC Louis","6 467","6 467","50","0","0","0","6 417","0","0","0","A","Finistère - 7","60 993 €","30 497 €"
"M. HAAS Renan","0","0","0","0","0","0","0","0","0","0","A","Finistère - 7","60 993 €","30 497 €"
"Mme HASCOET Elisabeth","1 170","2 143","0","2 143","0","0","0","973","973","0","A","Finistère - 7","60 993 €","30 497 €"
"M. JOUANNO René-Jean","0","0","0","0","0","0","0","0","0","0","A","Finistère - 7","60 993 €","30 497 €"
"Mme TANGUY Hélène","45 677","45 677","16 945","9 700","300","0","18 732","0","0","18 732","A","Finistère - 7","60 993 €","30 497 €"
"M. BLANCHE Georges","0","0","0","0","0","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"Mme CHAUFFIN Fanny","595","595","0","595","0","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"Mme COATEVAL Annick","315","315","0","311","4","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"M. DUFLEIT Rolland","0","0","0","0","0","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"M. FLEGEO Guy",,,,,,,,,"0","0","R","Finistère - 8","61 802 €","30 901 €"
"M. GOURMELEN Louis-Daniel","0","0","0","0","0","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"M. LE BOUR Éric","7 310","7 310","1 250","0","0","0","6 060","0","0","6 060","A","Finistère - 8","61 802 €","30 901 €"
"M. LE BRIS Gérard","0","0","0","0","0","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"M. LE DANVIC Fabrice","159","159","0","67","92","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"Mme TANAVELLE Solange","0","0","0","0","0","0","0","0","0","0","A","Finistère - 8","61 802 €","30 901 €"
"M. BILLARD Jacques","28 022","28 097","300","0","0","0","27 797","75","0","27 475","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. CORTEY Philippe","30 108","30 108","300","9 700","70","0","20 038","0","0","20 038","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. DAÏEN Yves","223","223","0","223","0","0","0","0","0","0","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. LUCIANI Paul antoine","10 046","10 600","0","0","0","0","10 600","554","0","10 046","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. MARTINELLI Olivier","14 760","17 000","0","0","0","0","17 000","2 240","0","0","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. POLI Jean-Marie","16 303","16 303","2 000","0","0","0","14 303","0","0","14 303","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. RENUCCI Simon","50 169","50 169","0","0","278","0","49 891","0","0","27 475","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. TALLARICO Gustave","0","0","0","0","0","0","0","0","0","0","A","Corse-du-Sud - 1","54 949 €","27 475 €"
"M. ANGELINI Jean-Christophe","19 339","19 339","0","0","0","0","19 339","0","0","19 339","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"jeanne","6 032","6 032","0","900","0","0","5 132","0","0","5 132","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"M. BUCCHINI Dominique","9 899","10 000","0","0","0","0","10 000","101","0","9 899","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"M. DE ROCCA SERRA Camille","44 492","47 495","0","5 700","3 795","0","38 000","3 003","0","27 861","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"Mlle LACLAU Nathalie","224","224","0","224","0","0","0","0","0","0","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"M. MARIAGGI Guy","0","0","0","0","0","0","0","0","0","0","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"M. QUASTANA Paul","13 230","13 230","100","0","0","0","13 130","0","0","13 130","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"Mme SIVKOVICH Joséphine","0","0","0","0","0","0","0","0","0","0","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"M. TUCCI Pierre-Noël","0","0","0","0","0","0","0","0","0","0","A","Corse-du-Sud - 2","55 722 €","27 861 €"
"M. BACCARELLI Jean-François","0","0","0","0","0","0","0","0","0","0","A","Haute-Corse - 1","58 083 €","29 042 €"
"M. CARDI Antoine","3 447","6 500","0","0","0","0","6 500","3 053","0","0","A","Haute-Corse - 1","58 083 €","29 042 €"
"M. GRAZIANI Jean","14 479","14 479","1 110","1 000","900","0","11 469","0","0","11 469","A","Haute-Corse - 1","58 083 €","29 042 €"
"Mme GUEZ Roseline","0","0","0","0","0","0","0","0","0","0","A","Haute-Corse - 1","58 083 €","29 042 €"
"M. MATTEI Bernard","229","229","0","229","0","0","0","0","0","0","A","Haute-Corse - 1","58 083 €","29 042 €"
"Mme SANCHEZ Hélène","170","170","170","0","0","0","0","0","0","0","A","Haute-Corse - 1","58 083 €","29 042 €"
"M. ZUCCARELLI Emile","39 985","39 985","9 200","0","3 000","0","27 785","0","0","27 785","A","Haute-Corse - 1","58 083 €","29 042 €"
"viève","0","0","0","0","0","0","0","0","0","0","A","Haute-Corse - 2","56 661 €","28 331 €"
"M. GIACOBBI Paul","45 532","45 552","1 525","10 000","0","0","34 027","20","0","28 331","A","Haute-Corse - 2","56 661 €","28 331 €"
"M. JOSUÉ Olivier","433","433","0","410","23","0","0","0","0","0","A","Haute-Corse - 2","56 661 €","28 331 €"
"Mme MARTINELLI Elisabeth","0","0","0","0","0","0","0","0","0","0","A","Haute-Corse - 2","56 661 €","28 331 €"
"M. RIOLACCI François-Xavier","1 780","1 780","0","1 015","0","0","765","0","0","0","A","Haute-Corse - 2","56 661 €","28 331 €"
"M. SIMEONI Gilles","8 991","9 060","3 060","0","0","0","6 000","69","0","5 931","A","Haute-Corse - 2","56 661 €","28 331 €"
"M. CASAS Simon","16 514","16 514","3 500","0","0","0","13 014","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"M. CHAYNE Gérard","0","0","0","0","0","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"Lysiane","0","0","0","0","0","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"Mme DUMAS Roselyne","0","0","0","0","0","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"Mme DUPLISSY Claudine","44","44","0","15","29","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"Mme FOURCADE Fabienne","80","80","0","80","0","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"M. KARRIM Ali","0","0","0","0","0","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"M. LACHAUD Yvan","62 597","62 597","27 784","1 700","4 066","200","28 847","0","0","28 847","A","Gard - 1","67 027 €","33 514 €"
"Mlle RODRIGUEZ Christine","1 055","1 135","1 105","0","30","0","0","80","80","0","A","Gard - 1","67 027 €","33 514 €"
"M. SERVILE Michel","0","0","0","0","0","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"M. TAULELLE Marc","1 316","1 316","620","0","0","0","696","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"Mme TERBÈCHE Aïcha","344","344","0","309","35","0","0","0","0","0","A","Gard - 1","67 027 €","33 514 €"
"Mme ABELLO Jacqueline","0","0","0","0","0","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mlle BOCCADIFUOCCO Sylvia","0","0","0","0","0","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mme CHANIAC Marie-Lise","51","51","0","15","36","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"M. CLÉMENT Pierre","0","0","0","0","0","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mme DERIAN Corinne","0","0","0","0","0","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"M. DURAND Cédric","1 410","1 500","1 350","0","0","0","150","90","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mme RAYNAUD Monique","0","0","0","0","0","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mme ROLANDEZ Christiane","282","282","0","266","16","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mme SERVILE Jeanine","0","0","0","0","0","0","0","0","0","0","A","Gard - 2","70 543 €","35 272 €"
"Mme AUDIER Angèle","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"Mme AZAM Josette","356","356","0","316","40","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. BENOÎT Christophe","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. CORDRAY Charles maurice","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"Mme DHOYE Nicole","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. JOURLIN Pierre","442","442","0","407","35","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. LOONIS Yves","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. MENY Gérard","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. RESSAIRE Jacques","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. TASSIN André","600","610","140","300","0","0","170","10","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. VATON Bernard","0","0","0","0","0","0","0","0","0","0","A","Gard - 3","69 427 €","34 714 €"
"M. ANGOT Daniel","124","124","0","50","74","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mme CHAMSON Béatrice","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"M. GÉRARD Jean-Marie","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"M. HAON Jean-Louis","10 823","10 823","0","10 823","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mme LOÏS Paula","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mme MARET Christine","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mme NAGA Khadidja","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mme RAVEL Lucile","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"M. RIVET-MARTEL Vincent","0","0","0","0","0","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mlle ROCHE Marie-France","343","343","0","318","25","0","0","0","0","0","A","Gard - 4","63 203 €","31 602 €"
"Mme VICAT Prisca","27 200","27 200","0","0","0","0","27 200","0","0","27 200","A","Gard - 4","63 203 €","31 602 €"
"Mme VINOT Chantal","25 895","30 500","200","800","2 100","0","27 400","4 605","0","22 795","A","Gard - 4","63 203 €","31 602 €"
"M. BRUN Marcel","332","332","0","321","11","0","0","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"Mme DIZIER Séverine","0","0","0","0","0","0","0","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"M. ESCATAFAL Michel","9 511","25 000","0","0","0","0","25 000","15 489","0","0","A","Gard - 5","64 294 €","32 148 €"
"Mme FOURNIER Ariane","39 297","39 297","10 805","0","0","0","28 492","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"Mme GRASSOR Christiane","0","0","0","0","0","0","0","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"Mme GUÉNOUN Evelyne","0","0","0","0","0","0","0","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"Mme JODRA Christine","2 239","2 239","700","0","0","0","1 539","0","0","0","R","Gard - 5","64 294 €","32 148 €"
"M. MÉNARD Roland","1 334","5 088","1 148","0","0","0","3 940","3 754","0","0","A","Gard - 5","64 294 €","32 148 €"
"M. RAVEL Jean-Bernard","0","0","0","0","0","0","0","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"M. SALA Michel","131","131","0","50","81","0","0","0","0","0","A","Gard - 5","64 294 €","32 148 €"
"Mme SANCHEZ Sylvie","24 573","24 573","0","0","0","0","24 573","0","0","24 573","A","Gard - 5","64 294 €","32 148 €"
"M. SUAU Jean-Michel","30 017","30 017","5 870","0","96","0","24 051","0","0","24 051","A","Gard - 5","64 294 €","32 148 €"
"M. ARSAC Olivier","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. ARTEIL Michel","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. BORRAS Frédéric","115","115","0","15","100","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. CLEMENCEAU Georges","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. DAMIN Christophe","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. DANCALE Christian","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. FORGET Luc","16 772","16 772","400","0","378","0","15 994","0","0","15 994","A","Haute-Garonne - 1","64 774 €","32 388 €"
"Mme HILLEREAU Pascale","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"Mme LORTHOIS Sylvie","6 656","6 656","2 415","28","109","0","4 104","0","0","4 104","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. MARTIN Henri","474","474","0","426","48","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"Mme SOPRANI Nicole","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. SORDES Rudi","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. TOURTEAU Wilfrid","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"Mme TRICHEUX Olga","621","621","240","381","0","0","0","0","0","0","A","Haute-Garonne - 1","64 774 €","32 388 €"
"M. BAPT Gérard","30 457","30 630","1 175","972","60","23","28 400","173","0","28 227","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. BERTRAND Thierry","2 045","2 045","0","0","0","0","2 045","0","0","2 045","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. CAMPELS Marcel","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"Thérèse","6 203","6 203","590","0","0","0","5 613","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. COPPEY Stéphane","1 444","1 585","0","1 585","0","0","0","141","141","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. COUVERT Gérard","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"Mme PODGORNY Elisabeth","546","546","0","498","48","0","0","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. RAICH Robert","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. RIEY Philippe","1 707","1 707","0","70","0","0","1 637","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
"M. SALVADOR David","0","0","0","0","0","0","0","0","0","0","A","Haute-Garonne - 2","69 260 €","34 630 €"
