"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. CORNET Maurice","0","0","0","0","0","0","0","0","0","0","A"
"M. CUBAYNES Philippe","0","0","0","0","0","0","0","0","0","0","A"
"Mme DE FROMENT Camille","3 540
3 457","5 659
5 576","500
500","0
0","0
0","0
0","5 159
5 076","2 119
2 119","0","2 957","AR"
"Mme FAUCON Elisabeth","371","371","0","365","6","0","0","0","0","0","A"
"M. FONTANA Alexandre","3 045","3 045","0","3 045","0","0","0","0","0","0","A"
"Mme FOULON Antoinette","645","645","0","301","100","0","244","0","0","0","A"
"Mlle JAMMOT Brigitte","36 247
35 181","36 375
35 309","2 175
2 175","10 700
10 700","0
0","0
0","23 500
22 434","128
128","0","22 306","AR"
"M. LABROUSSE Vincent","11 409
11 362","11 662
11 615","1 162
1 162","0
0","0
469","0
0","10 500
9 984","253
253","0","9 731","AR"
"Mme LESOUPLE Chantal","15","20","15","0","0","0","5","5","0","0","A"
"Mlle PIERRAT Maryline","0","0","0","0","0","0","0","0","0","0","A"
"M. VERGNIER Michel","29 515
29 458","31 578
31 521","3 600
3 600","3 942
3 942","1 979
1 979","57
0","22 000
22 000","2 063
2 063","0","19 937","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"135"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Creuse - 2</i>","<i>Département : Creuse </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 55 420","€",,,,,,,,,,
"Remboursement maximum : 27 710",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. AUCLAIR Jean","42 997","43 235","0","9 700","247","0","33 288","238","0","27 710","A"
"Mme BERNARDET Françoise","0","0","0","0","0","0","0","0","0","0","A"
"M. GORIZZUTTI Roger","350","350","0","10","1","0","339","0","0","0","A"
"M. GRIBET Alain","33 131
30 615","33 131
30 615","3 362
3 362","0
0","0
0","0
0","29 769
27 253","0
0","0","27 253","AR"
"Mme GUIDON Rejane","0","0","0","0","0","0","0","0","0","0","A"
"M. HOULMANN Jean","0","0","0","0","0","0","0","0","0","0","A"
"M. LAINE Joel","13 676","14 005","505","0","0","0","13 500","329","0","13 171","A"
"M. RIGAUD Andre","0","0","0","0","0","0","0","0","0","0","A"
"Mme SAGNARD Paulette","0","0","0","0","0","0","0","0","0","0","A"
"M. SARRE Georges","45 186
39 235","45 186
39 235","1 920
1 920","359
359","1 863
1 863","0
0","41 044
35 093","0
0","0","27 710","AR"
"Mlle TUDURI Olga","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"136","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Dordogne - 1</i>","<i>Département : Dordogne </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 62 054","€",,,,,,,,,,
"Remboursement maximum : 31 028",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. AGULLO Lionel","0","0","0","0","0","0","0","0","0","0","A"
"M. CARTIER Jean-Yves","20 142
20 008","20 142
20 008","0
0","0
0","0
0","0
0","20 142
20 008","0
0","0","0","AR"
"M. COLBAC Francis","35 376
34 416","37 120
36 160","5 465
5 465","0
0","0
0","0
0","31 655
30 695","1 744
1 744","0","28 951","AR"
"Mme COURCELLE-LABROUSSE",,,,,,,,,,,
"Helene","0","0","0","0","0","0","0","0","0","0","A"
"M. CREUSOT Jean-Claude","0","0","0","0","0","0","0","0","0","0","A"
"M. DEGUILHEM Pascal-Yannick","42 584
42 088","42 584
42 088","0
0","4 228
4 228","482
482","0
0","37 874
37 378","0
0","0","31 027","AR"
"Mme GUILLOU Martine","0","0","0","0","0","0","0","0","0","0","A"
"Mme IGNARD Annick","26 393
26 357","26 393
26 357","0
0","0
0","0
0","0
0","26 393
26 357","0
0","0","26 357","AR"
"Mme LAFONT Danièle","64","64","0","15","49","0","0","0","0","0","A"
"M. PEYRAT Jérôme","58 131
53 556","59 943
55 368","17 820
17 820","9 700
9 700","5 111
5 111","0
0","27 312
22 737","1 812
1 812","0","20 925","AR"
"M. PONTALIER François","544","544","400","0","0","0","144","0","0","0","A"
"M. TORRES Joséfa","334","334","0","320","14","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"137"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Dordogne </i>
<i>Circoncription : Dordogne - 2</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 62 643","€",,,,,,,,,,
"Remboursement maximum : 31 322",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ANSELME Corinne","0","0","0","0","0","0","0","0","0","0","A"
"M. COQUARD Boris","0","0","0","0","0","0","0","0","0","0","A"
"Mme DUMIGRON Marianic","0","0","0","0","0","0","0","0","0","0","A"
"Mme EVRARD Véronique","0","0","0","0","0","0","0","0","0","0","A"
"M. GARRIGUE Daniel","42 198
41 122","42 198
41 122","2 715
2 715","9 700
9 700","0
0","0
0","29 783
28 707","0
0","0","28 707","AR"
"Mme GIBEAU Patricia","0","0","0","0","0","0","0","0","0","0","A"
"M. GILBERT Pierre","0","0","0","0","0","0","0","0","0","0","A"
"Mme LABARTHE Cécile","20 677
20 344","22 402
22 069","1 530
1 530","4 728
4 728","387
387","0
0","15 757
15 424","1 725
1 725","0","13 699","AR"
"M. MATTERA Marc","28 479
28 343","28 479
28 343","945
945","0
0","0
0","0
0","27 534
27 398","0
0","0","27 398","AR"
"M. PEREA Laurent","4 424
4 424","4 583
4 583","583
533","0
0","0
0","0
0","4 000
4 050","159
159","0","0","AR"
"M. PEYRET-LACOMBE Antoine","27 130
26 825","27 240
26 935","0
0","0
0","0
0","0
0","27 240
26 935","110
110","0","26 825","AR"
"M. PEYROCHE Marc","0","0","0","0","0","0","0","0","0","0","A"
"Mme RICHE Danielle","417","417","0","403","14","0","0","0","0","0","A"
"M. SIMONET Laurent","620","620","0","500","0","0","120","0","0","0","A"
"138","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. VALETTE Jean-Paul","67","67","0","15","52","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"139"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Dordogne </i>
<i>Circoncription : Dordogne - 3</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 60 225","€",,,,,,,,,,
"Remboursement maximum : 30 113",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme DE HÉRICOURT Myriam","0","0","0","0","0","0","0","0","0","0","A"
"M. DEBET Michel jean jacques","34 639","34 639","700","4 556","295","563","28 525","0","0","28 525","A"
"M. DECOUPY Jacques","393","393","0","379","14","0","0","0","0","0","A"
"Mme DU ROUSSET Charlotte","0","0","0","0","0","0","0","0","0","0","A"
"M. LAFOND GRELLETY Jean","27 198
25 919","28 000
26 721","0
0","0
0","0
0","0
0","28 000
26 721","802
802","0","25 919","AR"
"M. LUCAS Alain","55 770","55 987","10 567","9 700","0","18 839","16 881","217","0","0","R"
"M. MOREAU Jean-Émile","0","0","0","0","0","0","0","0","0","0","A"
"Mme ROMANO Denise","0","0","0","0","0","0","0","0","0","0","A"
"M. ROSEVEGUE André","198","198","0","15","183","0","0","0","0","0","A"
"M. SALON Jean-Paul","33 446
32 735","33 471
32 760","760
760","0
2 311","0
0","0
0","32 711
29 689","25
25","0","29 664","AR"
"Mme ZAIGOUCHE Sonia","940
940","940
940","440
240","500
500","0
0","0
0","0
200","0
0","0","0","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"140","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Dordogne - 4</i>","<i>Département : Dordogne </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 63 166","€",,,,,,,,,,
"Remboursement maximum : 31 583",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. AUTOFAGE Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. BOUSQUET Dominique","49 983
49 864","50 115
49 996","8 465
8 465","9 700
9 700","0
0","0
0","31 950
31 831","132
132","0","31 583","AR"
"Mme CAZAUVIEILH Danièle","20 235
20 612","20 235
20 612","0
0","0
0","0
0","0
0","20 235
20 612","0
0","0","20 612","AR"
"M. CHRETIEN Michel","0","0","0","0","0","0","0","0","0","0","A"
"M. INIZAN Frédéric","500","500","0","0","0","0","500","0","0","0","A"
"Mme LE GOFF Annick","7 649","9 973","4 953","0","0","0","5 020","2 324","0","0","A"
"Mme LEGUAY Irène","67","67","0","15","52","0","0","0","0","0","A"
"M. MERCIER Serge","272","272","0","257","15","0","0","0","0","0","A"
"Mme MICOLON DE GUERINES",,,,,,,,,,,
"Stéphanie","0","0","0","0","0","0","0","0","0","0","A"
"M. PEIRO Germinal","30 691
29 676","30 691
29 676","5 947
5 947","5 628
5 628","1 150
1 150","0
0","17 966
16 951","0
0","0","16 951","AR"
"M. PEYRAT Patrick","3 680","3 680","0","3 680","0","0","0","0","0","0","A"
"Mme PUJOL Emmanuelle","22 615
22 519","24 250
24 154","0
0","0
0","0
0","0
0","24 250
24 154","1 635
1 635","0","0","AR"
"Mme RATABOU Isabelle","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"141"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Doubs - 1</i>","<i>Département : Doubs </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 63 997","€",,,,,,,,,,
"Remboursement maximum : 31 999",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BILLOD Catherine","0","0","0","0","0","0","0","0","0","0","A"
"Mme BRANGET Françoise","49 389
48 532","49 389
48 532","7 885
7 885","9 700
9 700","0
0","0
0","31 804
30 947","0
0","0","30 947","AR"
"Mme CHEVASSU Nathalie","0","0","0","0","0","0","0","0","0","0","A"
"Mme DE RYCKE Fabienne","0","0","0","0","0","0","0","0","0","0","A"
"M. DROUOT Hervé","5 706","5 706","0","0","0","0","5 706","0","0","0","HD"
"M. DUDRET Alain","28 916","31 000","0","0","0","0","31 000","2 084","0","0","A"
"Mme FRIESS Nicole","560","560","0","530","24","0","6","0","0","0","A"
"M. GONON Philippe","25 251","30 758","0","0","86","0","30 672","5 507","0","25 165","A"
"Mme JABER Samia","2 816","2 816","0","2 816","0","0","0","0","0","0","A"
"M. LIME Christophe","4 461","4 461","470","2 360","100","0","1 531","0","0","0","A"
"M. MERCIER Claude","5 214","5 214","0","225","0","0","4 989","0","0","0","A"
"M. NUSBAUM Norbert","364","414","50","351","13","0","0","50","50","0","A"
"M. PLAZA Jean-Pierre",,,,,,,,,"0","0","HD"
"Mme ROMAGNAN Barbara","28 400","28 400","5 210","0","191","0","22 999","0","0","22 999","A"
"142","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. VILLEROT Raymond","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"143"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Doubs - 2</i>","<i>Département : Doubs </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 63 529","€",,,,,,,,,,
"Remboursement maximum : 31 765",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BRAILLARD Jean-Claude","0","0","0","0","0","0","0","0","0","0","A"
"Mme DELORME Sylvie","4 784","4 784","0","224","0","0","4 560","0","0","0","A"
"Mme DUFAY Marie-Guite","37 805
37 616","38 350
38 161","11 325
11 325","900
900","0
0","0
0","26 125
25 936","545
545","0","25 391","AR"
"Mme FAIVRE PETIT-JEAN Odile","24 566
24 190","29 458
29 082","0
0","0
0","58
58","0
0","29 400
29 024","4 892
4 892","0","24 132","AR"
"M. GROSPERRIN Jacques","35 464
35 323","46 085
45 944","6 385
6 385","9 700
9 700","0
0","0
0","30 000
29 859","10 621
10 621","0","19 238","AR"
"M. JALLON Catherine","0","0","0","0","0","0","0","0","0","0","A"
"M. JOLY Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. MENETRIER Annie","5 263","5 263","135","2 461","100","0","2 567","0","0","0","A"
"Mme OGET Josiane","29 058","31 000","0","0","0","0","31 000","1 942","0","0","A"
"M. PATOIS Bruno","0","0","0","0","0","0","0","0","0","0","A"
"M. PORTAL François","28","28","0","15","13","0","0","0","0","0","A"
"M. SCHOENBERG Gérard","103","103","52","0","0","0","51","0","0","0","A"
"M. THIELLEY Patrick","13 688","13 688","0","0","0","0","13 688","0","0","0","A"
"Mme VUITTON Brigitte","569","569","0","545","24","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"144","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Doubs - 3</i>","<i>Département : Doubs </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 61 371","€",,,,,,,,,,
"Remboursement maximum : 30 686",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. AVIAT Gérard","152","158","0","108","0","0","50","6","0","0","A"
"M. BONNOT Marcel","40 013","40 013","850","9 700","12 286","0","17 177","0","0","17 177","A"
"M. BOURQUIN Laurent","29 361","29 552","0","0","0","0","29 552","191","0","29 361","A"
"Mme DE ROUGEMONT Josette","0","0","0","0","0","0","0","0","0","0","A"
"M. DRIANO Christian","256","256","0","256","0","0","0","0","0","0","A"
"Mme DRONNEAU Lydia","6 315","6 315","0","1 601","50","0","4 664","0","0","0","A"
"Mme FAIVRE-PIERRET Martine","28 178","30 000","0","0","0","0","30 000","1 822","0","28 178","A"
"Mlle JALLON Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. LACHAMBRE Bernard","1 665","1 665","0","266","0","0","1 399","0","0","0","A"
"Mlle LOPEZ Isabelle","4 127","4 127","0","4 127","0","0","0","0","0","0","A"
"M. MERLÉ Alain","16 048","16 290","13 760","1 500","1 030","0","0","242","0","0","R"
"M. PARRENIN Joseph","32 309
31 248","32 309
31 248","150
150","900
900","0
0","0
0","31 259
30 198","0
0","0","30 198","AR"
"Mme VAREILLES Christiane","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"145"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Doubs - 4</i>","<i>Département : Doubs </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 61 979","€",,,,,,,,,,
"Remboursement maximum : 30 990",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ADAMI Chantal","7 064","7 064","355","909","50","0","5 750","0","0","0","A"
"M. DRU Heribert","111","120","120","0","0","0","0","9","9","0","A"
"Mme FINCK Fabienne","153","158","0","15","93","0","50","5","0","0","A"
"Mme GLADSTONE Elisabeth","0","0","0","0","0","0","0","0","0","0","A"
"Mme GROSJEAN Françoise","866","866","0","178","0","0","688","0","0","0","A"
"Mme GUEPRATTE Catherine","26 002","31 482","0","482","0","0","31 000","5 480","0","0","A"
"Mme LE MAOUT Catherine","0","0","0","0","0","0","0","0","0","0","A"
"Mme MONTEL Sophie","26 452","30 000","0","0","0","0","30 000","3 548","0","26 452","A"
"M. MOSCOVICI Pierre","35 664
31 436","55 786
51 558","22 055
22 055","2 600
2 600","0
0","64
64","31 067
26 839","20 122
20 122","0","6 717","AR"
"M. RICHARD Bernard","0","0","0","0","0","0","0","0","0","0","A"
"M. SCHAEFFNER André-Michel","0","0","0","0","0","0","0","0","0","0","HD"
"Mme THARIN Irène","40 068","41 381","9 482","9 700","3 965","134","18 100","1 313","0","0","R"
"M. TREPPO Michel","250","250","0","250","0","0","0","0","0","0","A"
"M. VOLA Yves","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"146","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Doubs - 5</i>","<i>Département : Doubs </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 61 659","€",,,,,,,,,,
"Remboursement maximum : 30 830",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BINETRUY Jean-Marie","22 986
22 427","25 469
24 910","7 850
7 850","9 700
9 700","419
419","0
0","7 500
6 941","2 483
2 483","0","4 458","AR"
"M. BOUDAY Christian","10 678","10 678","250","0","0","0","10 428","0","0","10 428","A"
"Mme CHALUMEAU Marie-",,,,,,,,,,,
"Jacques","28 300","29 566","0","0","166","0","29 400","1 266","0","28 134","A"
"M. DELSAU François","0","0","0","0","0","0","0","0","0","0","A"
"M. FILONCZUK William",,,,,,,,,"0","0","AD"
"Mlle HUMBERT Odile","329","329","0","312","17","0","0","0","0","0","A"
"Mme LYONNAIS Laurence","578","855","635","15","205","0","0","277","277","0","A"
"M. MANDIL François","1 472","1 472","10","255","0","0","1 207","0","0","0","A"
"M. PEDEZERT Jean-Luc","0","0","0","0","0","0","0","0","0","0","A"
"Mme TISSERAND Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. VERNIER Claude","27 904
27 759","30 000
29 855","0
0","0
0","0
0","0
0","30 000
29 855","2 096
2 096","0","27 759","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"147"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Drôme - 1</i>","<i>Département : Drôme </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 63 630","€",,,,,,,,,,
"Remboursement maximum : 31 816",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BAFFERT Laurence-Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. CAPELASSE Michel","0","0","0","0","0","0","0","0","0","0","A"
"Mme CHEVALIER Marie-Odile","15","15","0","15","0","0","0","0","0","0","A"
"Mme DUSSOULIER Geneviève",,,,,,,,,"0","0","AD"
"Mme FRANQUET Nathalie","24 790
24 668","25 000
24 878","0
0","0
0","0
0","0
0","25 000
24 878","210
210","0","0","AR"
"Mme GARNIER Danielle","1 319
1 229","2 035
1 985","15
15","520
560","0
0","0
0","1 500
1 410","716
756","0","0","AR"
"Mme KERDO Rosalie","22 798
22 720","23 298
23 220","0
0","0
0","0
0","0
0","23 298
23 220","500
500","0","22 720","AR"
"M. LABAUNE Patrick","34 393","34 440","0","5 700","740","0","28 000","47","0","27 953","A"
"Mme NAKIB COLOMB Zabida","33 478
30 188","33 478
30 188","2 055
2 055","900
900","380
380","0
0","30 143
26 853","0
0","0","26 853","AR"
"Mme RIVASI Michèle","38 101
37 998","38 101
37 998","1 500
1 500","400
400","0
0","305
305","35 896
35 793","0
0","0","31 815","AR"
"M. TERNO Alain","314","452","0","416","36","0","0","138","138","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"148","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Drôme - 2</i>","<i>Département : Drôme </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 63 372","€",,,,,,,,,,
"Remboursement maximum : 31 687",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BAYOUD TORRES Marie",,,,,,,,,,,
"jo","3 369","3 369","170","1 199","0","0","2 000","0","0","0","A"
"M. CANOVAS Alfred",,,,,,,,,"0","0","AD"
