"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum", "Scrutin"
"M. BAUDOIN Gérard","0","0","0","0","0","0","0","0","0","0","HD","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. CHAOUCHI Abderzake",,,,,,,,,"0","0","AD","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. FOURNAISE Jean-Michel","15","15","0","15","0","0","0","0","0","0","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. JADON Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"Mme LEFLON Michèle","2 313","2 313","0","521","0","0","1 792","0","0","0","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"Mme MAILLARD Florence","18 784/18 316","18 784/18 316","1 030/1 030","0/0","0/0","264/264","17 490/17 022","0/0","0","17 022","AR","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M m e   N A I T - A B D E L A Z I ZMezhoura","439","625","0","625","0","0","0","186","186","0","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. NOUET Joël","365","365","0","355","10","0","0","0","0","0","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. RAVIGNON Boris","57 964/56 691","60 326/59 053","12 265/12 265","9 700/9 700","0/0","0/0","38 361/37 088","2 362/2 362","0","31 426","AR","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"Mme TILQUIN Josée","0","0","0","0","0","0","0","0","0","0","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. VUILQUE Philippe","39 101","39 101","680","900","0","0","37 521","0","0","31 426","A","Ardennes - 2","62 852","31 427 €","Scrutin non contesté"
"M. BACHY Jean-Paul","24 629/24 528","24 629/24 528","11 845/11 845","0/0","0/880","0/0","12 784/11 803","0/0","0","11 803","AR","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"M. BOISSIER Jacques","272","272","0","262","10","0","0","0","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"Mme DESSIEUX Gisèle","13 725","14 385","4 785","0","2 400","0","7 200","660","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"Mme HENRY Régine","1 820","1 820","65","297","0","0","1 458","0","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"M. LAHOTTE Hervé","0","0","0","0","0","0","0","0","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"M. LAURANT Olivier","11 178/6 586","25 210/20 618","5 210/5 210","0/0","0/0","0/0","20 000/15 408","14 032/14 032","0","0","AR","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"Mme MAGNOU Maylis","270","684","0","684","0","0","0","414","414","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"Mlle MATHIEU Hélène","15","15","0","15","0","0","0","0","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"M. PIERRARD Jean","0","0","0","0","0","0","0","0","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"M. SAMYN Eric","11 393/11 254","13 410/13 271","0/0","0/0","0/0","0/0","13 410/13 271","2 017/2 017","0","0","AR","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"MmeTILLETTE DE CLERMONT-TONNERRE","0","0","0","0","0","0","0","0","0","0","A","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"M. WARSMANN Jean-Luc","35 024/27 848","35 024/27 848","2 600/2 600","9 700/9 700","810/810","0/0","21 914/14 738","0/0","0","14 738","AR","Ardennes - 3","59 809","29 905 €","Scrutin non contesté"
"Mme BUCAILLE Veronique","3 045","3 045","0","0","3 045","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"Mme CASSAN Lyliane","23 608/23 516","24 030/23 938","30/30","0/0","0/0","0/0","24 000/23 908","422/422","0","23 486","AR","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. CUVILLIER Thierry","0","0","0","0","0","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. FERNANDEZ Jean-Luc","0","0","0","0","0","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"Mme GRIZON Sylvie","0","0","0","0","0","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"Mlle MASSAT Frédérique","23 251/22 687","23 251/22 687","3 050/3 050","900/900","2 639/2 639","0/0","16 662/16 098","0/0","0","16 098","AR","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. PONT Patrick","4 185/4 137","4 185/4 137","1 185/1 185","0/0","0/0","0/0","3 000/2 952","0/0","0","2 952","AR","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"Mme ROUGE Jacqueline","17 547/17 457","17 547/17 457","2 021/2 021","10 700/10 700","282/282","0/0","4 544/4 454","0/0","0","4 454","AR","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. SARACINO Marc","2 509/845","4 138/2 474","0/0","4 138/2 474","0/0","0/0","0/0","1 629/1 629","1 629","0","AR","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. SEEL Denis","29","29","0","15","14","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. SERRANO Jose","0","0","0","0","0","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"M. SOULET Didier","295","295","0","289","6","0","0","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"Mme ZAMMIT Josette","1 462","1 462","0","200","0","0","1 262","0","0","0","A","Ariège - 1","56 512","28 257 €","Scrutin non contesté"
"Mme ALIOT Therese","16 149/14 149","16 149/14 149","0/0","200/200","0/0","0/0","15 949/13 949","0/0","0","0","AR","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"M. CALLEJA Philippe","22 364","22 364","9 400","10 700","1 479","0","785","0","0","785","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"M. CHAUMONT Raymond","0","0","0","0","0","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme CLAMER Chantal","1 098/1 047","1 098/1 098","1 098/1 098","0/0","0/0","0/0","0/0","0/51","51","0","AR","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme CLARET Marie-Angele","43","43","0","15","28","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme COUVE Caroline","2 963","3 124","2 010","1 094","0","0","20","161","141","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme CUVILLIER Pascale","0","0","0","0","0","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme DARDE Marie-Jose","0","0","0","0","0","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"M. GUEGUEN Pierre","269","269","40","229","0","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme HOCQUARD Francoise","3 045","3 045","0","3 045","0","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme MATRICON Francoise","3 328/1 625","5 051/3 363","0/0","5 051/3 363","0/0","0/0","0/0","1 723/1 738","1 738","0","AR","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"M. NAUDY Michel","26 733","26 733","720","0","600","0","25 413","0","0","25 413","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"M. NAYROU Henri","32 069/31 954","32 069/31 954","0/0","900/900","2 858/2 858","0/0","28 311/28 196","0/0","0","28 196","AR","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme RIOS-REBAUD Veronique","0","0","0","0","0","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme SANTI Jacqueline","331","331","0","316","15","0","0","0","0","0","A","Ariège - 2","57 454","28 728 €","Scrutin non contesté"
"Mme BONHOMME Monique","408","408","0","408","0","0","0","0","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"Mme BRET Line","30 707/30 253","30 707/30 253","0/0","900/900","1 350/1 350","0/0","28 457/28 003","0/0","0","28 003","AR","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"Mme DE BALMAIN Roselyne","0","0","0","0","0","0","0","0","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. DHUICQ Nicolas","40 090/35 714","40 793/36 417","5 340/5 340","9 700/9 700","5 384/5 384","0/0","20 369/15 993","703/703","0","15 290","AR","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. FOURNILLON Sebastien","0","0","0","0","0","0","0","0","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. GUÉRITTE Michel",,,,,,,,,"0","0","HD","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. HOUPLON Pascal","764","1 246","0","246","0","0","1 000","482","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"Mme IMBERDIS Cathy","0","0","0","0","0","0","0","0","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. LEBECQ Bruno","5 874/2 453","5 874/2 455","2 455/2 455","0/0","0/0","0/0","3 419/0","0/2","0","0","AR","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. SEBEYRAN Marc","28 917","28 917","11 115","4 000","23","0","13 779","0","0","13 779","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. SIMARD Guy","0","0","0","0","0","0","0","0","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"M. SUBTIL Bruno","25 247/25 132","25 247/25 132","0/0","0/0","0/0","0/0","25 247/25 132","0/0","0","25 132","AR","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"Mme ZAJAC Anna","881","881","0","0","0","0","881","0","0","0","A","Aube - 1","59 323","29 662 €","Scrutin non contesté"
"Mme AYADI Saliha","10 158/10 127","10 158/10 127","0/0","68/68","140/140","0/0","9 950/9 919","0/0","0","9 919","AR","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"Mme BAICRY Anne","0","0","0","0","0","0","0","0","0","0","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"Mme CARDOSO Deolinda","443","443","0","443","0","0","0","0","0","0","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. CORNEVIN Jean pierre","1 284","1 284","0","0","0","0","1 284","0","0","0","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"Mme GARIGLIO Elisabeth","3 700/3 578","3 800/3 678","300/300","0/0","0/0","0/0","3 500/3 378","100/100","0","3 278","AR","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"Mme LE CADRE Anne marie","0","0","0","0","0","0","0","0","0","0","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. LEPRINCE Didier","33 750/33 620","33 750/33 620","10 530/10 530","0/0","0/550","0/0","23 220/22 540","0/0","0","22 540","AR","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. MALARMEY Marc","25 605","25 605","0","0","0","0","25 605","0","0","25 605","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. MATHIS Jean claude","40 548","40 564","6 955","9 700","4 097","0","19 812","16","0","19 796","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. MURGIER Herve","1 124/878","1 239/993","0/0","239/239","0/0","0/0","1 000/754","115/115","0","0","AR","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"Mme NORMANT Denise","0","0","0","0","0","0","0","0","0","0","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. VIVET Jean","0","0","0","0","0","0","0","0","0","0","A","Aube - 2","62 459","31 230 €","Scrutin non contesté"
"M. BAROIN Francois","43 362","48 033","29 965","9 700","8 368","0","0","4 671","4 671","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. BERNARDIE Maurice","0","0","0","0","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. BERNAUD Christian","0","0","0","0","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. BISSEY Pierre","485","485","0","485","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"Mme DELPLANQUE Francoise","950","1 213","0","213","0","0","1 000","263","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. GARNIER Guy","0","0","0","0","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. GIRARDIN Olivier","28 272/28 125","28 272/28 125","360/360","900/900","0/0","0/0","27 012/26 865","0/0","0","26 865","AR","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. MAES Lucien","0","0","0","0","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. MATHIEU Pierre","32 542","32 542","15","0","81","0","32 446","0","0","32 223","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"M. PARACHOUT Christian","0","0","0","0","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"Mme SPAGNOL Theodoulitsa","15","15","0","15","0","0","0","0","0","0","A","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"Mme VIALA Martine","27 834/27 644","27 834/27 644","0/0","0/0","0/0","0/0","27 834/27 644","0/0","0","27 644","AR","Aube - 3","64 445","32 223 €","Scrutin non contesté"
"Mme BENSON Claude-Marie",,,,,,,,,"0","0","AD","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. BORD Daniel","0","0","0","0","0","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. BRUN Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M m e   C A R R A Z O N I - O M A R IAmandine","3 269","5 000","0","0","0","0","5 000","1 731","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"Mme CHESA Isabelle","31 831","42 160","15 460","11 700","0","0","15 000","10 329","0","4 671","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"Mme DENUX Monique","16 140","20 672","20","0","573","0","20 079","4 532","0","15 547","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"Mme EL HEDRI Lucile","302","302","0","288","14","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"Mme GAMERRE Claudine","0","0","0","0","0","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"Mme LATORRE Claudine","0","0","0","0","0","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. MORIO Robert","26 998/26 318","26 998/26 318","0/0","0/0","0/0","0/0","26 998/26 318","0/0","0","26 318","AR","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. PEREZ Jean-Claude","28 243/25 412","28 243/25 412","445/445","0/0","4 436/4 436","0/0","23 362/20 531","0/0","0","20 531","AR","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"Mme URROZ Magali","0","0","0","0","0","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. VIELMAS Alain","158","245","230","15","0","0","0","87","87","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. VIEULES Jacques","0","0","0","0","0","0","0","0","0","0","A","Aude - 1","61 095","30 548 €","Scrutin non contesté"
"M. AMIARD Yannick","0","0","0","0","0","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. BASCOU Jacques","38 177/38 083","38 249/38 155","8 910/8 910","900/900","794/794","195/195","27 450/27 356","72/72","0","27 284","AR","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"Mme CARPENTIER Elise","3 045","3 045","0","0","3 045","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. CAU André",,,,,,,,,"0","0","AD","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"Mme DECAENS Fabienne","0","0","0","0","0","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"Mme ESCUDIÉ Hélène","0","0","0","0","0","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. IMBERT Stéphane","0","0","0","0","0","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"Mme KONTOWICZ Véronique","299","299","0","288","11","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. NADAL Jean-Pierre","29 075/29 117","29 075/29 117","0/0","0/0","0/600","0/0","29 075/28 517","0/0","0","28 517","AR","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. PY Michel","58 138/57 767","58 138/57 767","31 230/31 230","11 700/11 700","3 312/3 312","0/0","11 896/11 525","0/0","0","11 525","AR","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. ROUX Patric","25 671/24 701","25 671/24 701","0/0","2 647/2 647","0/0","2 025/2 025","20 999/20 029","0/0","0","0","AR","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. SCHROEDER Francis","264","315","0","315","0","0","0","51","51","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. SOHIER Alain","15 984","24 292","0","15 482","0","0","8 810","8 308","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. VERDIER Denis","0","0","0","0","0","0","0","0","0","0","A","Aude - 2","67 211","33 606 €","Scrutin non contesté"
"M. CAUNES René","21 469/21 121","22 037/21 689","465/465","482/482","0/0","0/0","21 090/20 742","568/568","0","20 174","AR","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. DE SOOS Martin","0","0","0","0","0","0","0","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. DUPRÉ Jean-Paul","27 340","27 420","1 000","900","0","0","25 520","80","0","25 440","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. GALONNIER Dominique","283","283","0","273","10","0","0","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme HOGRAINDLEUR Josiane","338","338","0","0","0","0","338","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme LARRUY Marie-Ange","6 225/4 941","12 537/11 253","2 490/2 490","0/0","0/0","0/0","10 047/8 763","6 312/6 312","0","0","AR","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. LECLERC Jean-François","0","0","0","0","0","0","0","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme LESTRADE Yvette","0","0","0","0","0","0","0","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. MALLET Patrice","0","0","0","0","0","0","0","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. MERCHER Erick",,,,,,,,,"0","0","AD","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme MERCIER Paule","5 088","5 088","0","0","0","0","5 088","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme PINEL Lucette","0","0","0","0","0","0","0","0","0","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme PUJOL Annabelle","105","255","0","202","0","0","53","150","97","0","A","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. RABINEAU Jean-Jacques",,,,,,,,,"0","0","AD","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"M. SALVIGNOL Jean","33 277/33 122","33 277/33 122","6 088/6 088","11 700/11 700","2 068/2 068","0/0","13 421/13 266","0/0","0","13 266","AR","Aude - 3","61 043","30 522 €","Scrutin non contesté"
"Mme CARLIN Marie-Claude","1 270","1 298","0","1 298","0","0","0","28","28","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"M. CENSI Yves","41 017","41 017","1 120","9 700","409","0","29 788","0","0","29 788","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"M. EVESQUE Jean-Robert","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mme FOULQUIER Sylvie","681","681","0","0","0","0","681","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mlle GARBOULIN Claire-Marie","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mme LAUR Maïté","29 839","29 839","0","1 000","0","0","28 839","0","0","28 839","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mme LE MARCHAND Nicolle","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mlle LEBEAU Ingrid","0","0","0","0","0","0","0","0","0","0","R","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"M. MIQUEL Jean léon","80","80","0","50","0","0","30","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mlle PERILLAT Marie-Cécile","44","44","0","15","29","0","0","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"M. PUECH Thierry","47 306/47 041","47 306/47 041","17 306/17 306","0/0","0/0","0/0","30 000/29 735","0/0","0","29 735","AR","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"Mme SAINT-AVIT Arlette","333","333","0","312","21","0","0","0","0","0","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"M. TEYSSEDRE Christian","27 695","27 695","0","900","0","0","26 795","0","0","26 795","A","Aveyron - 1","61 560","30 780 €","Scrutin non contesté"
"M. ANTONIN Jacques","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"Mlle AUBRIL Carine","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. CALMETTES Jean-Yves","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. CANCE Jean-Louis","17 058","17 058","100","1 000","0","0","15 958","0","0","15 958","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. DEMARETS Edouard","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"Mme FRAYSSINET Monique","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. GRUSZKA Denis","1 129","1 129","0","0","0","0","1 129","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"Mme HUMBERT Marie","290","290","0","269","21","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"Mme MARCEL Marie-Lou","30 509","30 509","1 895","900","0","0","27 714","0","0","27 714","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. POUZOULET Jean-Pierre","33 634/24 226","33 663/24 255","3 400/3 400","0/0","0/0","0/0","30 263/20 855","29/29","0","20 826","AR","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"Mme RATEL-SATTLER Suzanne","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"Mme RENAC Sophie","11 520","12 500","500","0","0","0","12 000","980","0","11 020","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. ROQUES Serge","31 170","31 170","8 885","9 700","0","0","12 585","0","0","12 585","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. VERNHES Jean-Luc","51","51","0","15","36","0","0","0","0","0","A","Aveyron - 2","59 942","29 971 €","Scrutin contesté"
"M. ARANCETA Inaki","2 667","2 796","80","2 516","0","0","200","129","0","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"Mme AUBRIL Marie-Joëlle","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"M. COMBES Bernard","393","393","0","392","1","0","0","0","0","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"M. DORLIN Michel","4 684/3 098","4 684/3 098","0/0","100/100","0/0","0/0","4 584/2 998","0/0","0","0","AR","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"Mme EVESQUE-HERAN Simone","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"M. FREMION Yves","1 587","1 613","0","1 613","0","0","0","26","26","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"M. MARC Alain","24 528/24 345","24 528/24 345","3 845/3 845","9 700/9 700","2 094/2 094","0/0","8 889/8 706","0/0","0","8 706","AR","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"Mme MARIT-ANTONIN Isabelle","0","0","0","0","0","0","0","0","0","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"Mme MARRE Béatrice","17 245/16 425","17 245/16 425","820/820","800/800","0/0","0/0","15 625/14 805","0/0","0","14 805","AR","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"Mme PEREZ Martine","1 046","1 046","0","0","0","0","1 046","0","0","0","A","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"M. ROBERT Hugues","6 972/6 494","6 972/6 494","150/150","1 000/1 000","0/0","0/0","5 822/5 344","0/0","0","5 344","AR","Aveyron - 3","59 712","29 857 €","Scrutin non contesté"
"Mme AUCOUTURIER Marie-Claude","12 796","13 300","0","0","0","0","13 300","504","0","12 796","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"Mlle BELLAIRE Valérie","0","0","0","0","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. BLUM Roland","41 617","45 453","22 650","10 275","1 528","0","11 000","3 836","0","7 164","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"Mme CARLOTTI Marie-Arlette","22 976","23 036","2 355","800","855","0","19 026","60","0","18 966","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. CECON Marc","388","388","0","13","28","0","347","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. FALZON Frédéric","594","594","0","94","500","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"Mme HAAS Mireille","0","0","0","0","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. JEREZ Olivier","122","122","0","0","0","0","122","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. JULLIEN Guy","0","0","0","0","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. MULLER Childéric jérôme","24 013","24 030","0","0","0","0","24 030","17","0","0","R","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"Mme OTERO Maruja","3 568","3 568","0","3 568","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"Mme PENTZ Martine","0","0","0","0","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"Mme RAYNAUD Corinne","152","152","152","0","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. SEMERIVA Pierre","0","0","0","0","0","0","0","0","0","0","HD","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
"M. TALLES Eric","0","0","0","0","0","0","0","0","0","0","A","Bouches-du-Rhône - 1","61 417","30 709 €","Scrutin non contesté"
